0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,13,6,4,9,12,11,10,8,7,3,2,1,5
1,12,11,10,8,7,3,2,6,4,13,0,9,5
12,11,10,8,7,3,2,1,6,4,13,0,5,9
12,11,10,8,7,3,2,1,6,4,13,0,5,9
6,4,13,0,9,12,11,10,8,7,3,2,1,5
5,12,11,10,8,7,3,2,9,13,0,6,4,1
6,4,13,0,9,12,11,10,8,7,3,2,1,5
12,11,10,8,7,3,2,1,6,4,13,0,5,9
12,11,10,8,7,3,2,1,6,4,13,0,5,9
9,13,0,6,4,12,11,10,8,7,3,2,5,1
12,11,10,8,7,3,2,1,6,4,13,0,5,9
12,11,10,8,7,3,2,1,6,4,13,0,5,9
12,11,10,8,7,3,2,1,6,4,13,0,5,9
13,0,6,4,9,12,11,10,8,7,3,2,1,5
